name	parent_id	level	created_at
技術支援部	cd9f638f-d4e2-4e42-8333-c0a769e86253	3	2025-11-21 06:31:50.72216
株式会社ユニリタ		1	2025-11-21 06:28:48.812003
中部営業課	d8767771-34de-47d7-8a42-8f7911d5a243	4	2025-11-21 06:35:32.473539
インフラチーム	0e98fd18-2f51-4165-946d-c4ab629d40a9	4	2025-11-21 06:34:18.728672
製品開発部	cd9f638f-d4e2-4e42-8333-c0a769e86253	3	2025-11-21 06:31:34.025168
営業第一部	76faafa5-d47e-4fe0-b206-beac797e9821	3	2025-11-21 06:32:18.788207
営業本部	35a9c5ad-40fb-4618-ad86-0d0c469ba2f5	2	2025-11-21 06:30:12.125444
開発本部	35a9c5ad-40fb-4618-ad86-0d0c469ba2f5	2	2025-11-21 06:29:20.05215
営業第二部	76faafa5-d47e-4fe0-b206-beac797e9821	3	2025-11-21 06:32:33.70535
首都圏営業課	7342aec4-1e99-48ab-aa2d-b600ede213ab	4	2025-11-21 06:35:06.782505
フロントエンドチーム	6fbbcffe-bbad-4026-a4fd-81c7dc63d4a2	4	2025-11-21 06:33:26.910697